celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,week1_avg_judge_score,week2_avg_judge_score,week3_avg_judge_score,week4_avg_judge_score,week5_avg_judge_score,week6_avg_judge_score,week7_avg_judge_score,week8_avg_judge_score,week9_avg_judge_score,week10_avg_judge_score,week11_avg_judge_score,week1_all_judge_score,week2_all_judge_score,week3_all_judge_score,week4_all_judge_score,week5_all_judge_score,week6_all_judge_score,week7_all_judge_score,week8_all_judge_score,week9_all_judge_score,week10_all_judge_score,week11_all_judge_score,week1_rank_judge_score,week2_rank_judge_score,week3_rank_judge_score,week4_rank_judge_score,week5_rank_judge_score,week6_rank_judge_score,week7_rank_judge_score,week8_rank_judge_score,week9_rank_judge_score,week10_rank_judge_score,week11_rank_judge_score,week1_percent_judge_score,week2_percent_judge_score,week3_percent_judge_score,week4_percent_judge_score,week5_percent_judge_score,week6_percent_judge_score,week7_percent_judge_score,week8_percent_judge_score,week9_percent_judge_score,week10_percent_judge_score,week11_percent_judge_score
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,5,6,6,NA,7,7,7,NA,7,8,7,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,5.666666666666667,7,7.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,17,21,22,NA,NA,NA,NA,NA,NA,NA,NA,8,7,4,NA,NA,NA,NA,NA,NA,NA,NA,0.08018867924528301,0.09130434782608696,0.10628019323671498,NA,NA,NA,NA,NA,NA,NA,NA
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,6,8,8,NA,8,8,8,NA,9,9,9,NA,8,8,8,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,7.333333333333333,8,9,8,NA,NA,NA,NA,NA,NA,NA,22,24,27,24,NA,NA,NA,NA,NA,NA,NA,3,3,1,4,NA,NA,NA,NA,NA,NA,NA,0.10377358490566038,0.10434782608695652,0.13043478260869565,0.12121212121212122,NA,NA,NA,NA,NA,NA,NA
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,6,6,7,NA,9,8,9,NA,9,9,9,NA,8,8,8,NA,9,9,9,NA,9,7,7,NA,9,9,9,NA,8.5,9,9,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,6.333333333333333,8.666666666666666,9,8,9,7.666666666666667,9,8.833333333333334,NA,NA,NA,19,26,27,24,27,23,27,26.5,NA,NA,NA,6,2,1,4,1,4,4,4,NA,NA,NA,0.08962264150943396,0.11304347826086956,0.13043478260869565,0.12121212121212122,0.14917127071823205,0.19491525423728814,0.2,0.24311926605504589,NA,NA,NA
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,7,7,7,NA,10,9,10,NA,8,6,8,NA,9,9,9,NA,8,8,9,NA,8,8,8,NA,9.5,9,10,NA,9.5,8.5,9,NA,9.5,10,10,NA,0,0,0,NA,NA,NA,NA,NA,7,9.666666666666666,7.333333333333333,9,8.333333333333334,8,9.5,9,9.833333333333334,NA,NA,21,29,22,27,25,24,28.5,27,29.5,NA,NA,5,1,4,3,5,3,1,2,1,NA,NA,0.09905660377358491,0.12608695652173912,0.10628019323671498,0.13636363636363635,0.13812154696132597,0.2033898305084746,0.2111111111111111,0.24770642201834864,0.3333333333333333,NA,NA
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,9,8,9,NA,7,6,8,NA,8,6,8,NA,10,9,10,NA,9,9,9,NA,9,9,10,NA,9.5,9,9.5,NA,9.5,9,10,NA,10,9.5,10,NA,10,10,9.6666,NA,NA,NA,NA,NA,8.666666666666666,7,7.333333333333333,9.666666666666666,9,9.333333333333334,9.333333333333334,9.5,9.833333333333334,9.888866666666667,NA,26,21,22,29,27,28,28,28.5,29.5,29.666600000000003,NA,1,7,4,1,1,1,3,1,1,1,NA,0.12264150943396226,0.09130434782608696,0.10628019323671498,0.14646464646464646,0.14917127071823205,0.23728813559322035,0.2074074074074074,0.26146788990825687,0.3333333333333333,0.5,NA
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,8,8,8,NA,8,8,8,NA,7,6,6,NA,8,8,8,NA,9,9,9,NA,8,8,9,NA,10,9.5,9,NA,8.5,9,9.5,NA,9.5,10,10,NA,10,9.6666,10,NA,NA,NA,NA,NA,8,8,6.333333333333333,8,9,8.333333333333334,9.5,9,9.833333333333334,9.888866666666667,NA,24,24,19,24,27,25,28.5,27,29.5,29.666600000000003,NA,2,3,9,4,1,2,1,2,1,1,NA,0.11320754716981132,0.10434782608695652,0.09178743961352658,0.12121212121212122,0.14917127071823205,0.211864406779661,0.2111111111111111,0.24770642201834864,0.3333333333333333,0.5,NA
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,7,5,6,NA,8,7,7,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,6,7.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08490566037735849,0.09565217391304348,NA,NA,NA,NA,NA,NA,NA,NA,NA
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,7,7,8,NA,7,8,8,NA,7,7,8,NA,9,9,10,NA,9,9,9,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,7.333333333333333,7.666666666666667,7.333333333333333,9.333333333333334,9,NA,NA,NA,NA,NA,NA,22,23,22,28,27,NA,NA,NA,NA,NA,NA,3,5,4,2,1,NA,NA,NA,NA,NA,NA,0.10377358490566038,0.1,0.10628019323671498,0.1414141414141414,0.14917127071823205,NA,NA,NA,NA,NA,NA
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,5,5,5,NA,7,7,7,NA,8,9,8,NA,6,7,7,NA,8,8,8,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,5,7,8.333333333333334,6.666666666666667,8,NA,NA,NA,NA,NA,NA,15,21,25,20,24,NA,NA,NA,NA,NA,NA,10,7,3,8,6,NA,NA,NA,NA,NA,NA,0.07075471698113207,0.09130434782608696,0.12077294685990338,0.10101010101010101,0.13259668508287292,NA,NA,NA,NA,NA,NA
Jerry Springer,Kym Johnson,TV Personality,NA,England,62,3,Eliminated Week 7,5,5,5,6,NA,7,6,6,NA,7,7,7,NA,7,7,8,NA,8,8,8,NA,7,6,5,NA,7.5,8,7.5,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,5.333333333333333,6.333333333333333,7,7.333333333333333,8,6,7.666666666666667,NA,NA,NA,NA,16,19,21,22,24,18,23,NA,NA,NA,NA,9,10,8,7,6,5,5,NA,NA,NA,NA,0.07547169811320754,0.08260869565217391,0.10144927536231885,0.1111111111111111,0.13259668508287292,0.15254237288135594,0.17037037037037037,NA,NA,NA,NA
